chapter_id,grade,chapter,chapter_title,topic_id_1,topic_id_2
G6_C1,6,1,Wonders of the Living World,G6_C1_ORG_CHARS,G6_C1_ORG_DIFF
G6_C2,6,2,Things Around Us,G6_C2_MAT_STATES,G6_C2_MAT_PROPS
G6_C3,6,3,Water as a Natural Resource,G6_C3_WAT_STATES,G6_C3_WAT_IMPORT
G6_C4,6,4,Energy in Day to Day Life,G6_C4_ENE_SOURCES,G6_C4_ENE_FORMS
G6_C5,6,5,Light and Vision,G6_C5_LIG_SEE,G6_C5_LIG_RAYS
G6_C6,6,6,Sound and Hearing,G6_C6_SOU_PRODUCE,G6_C6_SOU_DIVERSE
G6_C7,6,7,Magnets,G6_C7_MAG_POLES,G6_C7_MAG_FORCES
G6_C8,6,8,Electricity for a Comfortable Life,G6_C8_ELE_CIRCUITS,G6_C8_ELE_CONDINS
G6_C9,6,9,Heat and Its Effects,G6_C9_HEA_GEN,G6_C9_HEA_ENV
G6_C10,6,10,Food Related Interactions,G6_C10_FOO_INTER,G6_C10_FOO_NUTR
G6_C11,6,11,Weather and Climate,G6_C11_WEA_WEATHER,G6_C11_WEA_DISASTER
G7_C1,7,1,Plant Diversity,G7_C1_PLA_DIVER,G7_C1_PLA_CLASSIF
G7_C2,7,2,Static Electricity,G7_C2_STA_CHARGES,G7_C2_STA_CAPACIT
G7_C3,7,3,Generation of Electricity,G7_C3_ELE_SOURCES,G7_C3_ELE_CURRENTS
G7_C4,7,4,Functions of Water,G7_C4_WAT_SOLVENT,G7_C4_WAT_COOLANT
G7_C5,7,5,Acids and Bases,G7_C5_ACI_IDENTIF,G7_C5_ACI_INDICAT
G7_C6,7,6,Animal Diversity,G7_C6_ANI_CLASSIF,G7_C6_ANI_ADAPTAT
G7_C7,7,7,Forms of Energy and Uses,G7_C7_ENE_FORMS,G7_C7_ENE_TRANSF
G7_C8,7,8,The Nature of the Earth,G7_C8_EAR_STRUCT,G7_C8_EAR_TECTON
G7_C9,7,9,Light,G7_C9_LIG_SHADOWS,G7_C9_LIG_MIRRORS
G7_C10,7,10,The Correct Use of the Microscope,G7_C10_MIC_LIGHT,G7_C10_MIC_ELECTR
G7_C11,7,11,Sound,G7_C11_SOU_PRODUCE,G7_C11_SOU_PROPAG
G7_C12,7,12,Biological Processes,G7_C12_BIO_LEVELS,G7_C12_BIO_SYSTEMS
G7_C13,7,13,Atmosphere,G7_C13_ATM_LAYERS,G7_C13_ATM_AIR
G7_C14,7,14,Heat and Temperature,G7_C14_HEA_MEASURE,G7_C14_HEA_TRANSF
G7_C15,7,15,Soil,G7_C15_SOI_TYPES,G7_C15_SOI_EROSION
G7_C16,7,16,Force and Motion,G7_C16_FOR_DIST,G7_C16_FOR_FORCE
G7_C17,7,17,Nutrients in Food,G7_C17_NUT_FOOD,G7_C17_NUT_TESTS
G7_C18,7,18,Minerals and Rocks,G7_C18_ROC_KINDS,G7_C18_ROC_CYCLE
G7_C19,7,19,Sources of Energy,G7_C19_ENE_RENEW,G7_C19_ENE_SUSTAIN
G8_C1,8,1,Importance of Microorganisms,G8_C1_MIC_INTRO,G8_C1_MIC_EFFECTS
G8_C2,8,2,Animal Classification,G8_C2_ANI_INVERT,G8_C2_ANI_VERT
G8_C3,8,3,Diversity and Functions of Plant Parts,G8_C3_PLA_LEAVES,G8_C3_PLA_STEMROOT
G8_C4,8,4,Properties of Matter,G8_C4_MAT_PARTICLE,G8_C4_MAT_PROPS
G8_C5,8,5,Sound,G8_C5_SOU_INSTR,G8_C5_SOU_VIBRATE
